id,пол,город,relation
177,пол женский,Москва,данные извлечь невозможно
212,пол женский,Санкт-Петербург,данные извлечь невозможно
243,пол женский,Санкт-Петербург,данные извлечь невозможно
328,пол женский,город не указан,данные извлечь невозможно
431,пол женский,Санкт-Петербург,данные извлечь невозможно
479,пол женский,Санкт-Петербург,данные извлечь невозможно
495,пол мужской,Санкт-Петербург,данные извлечь невозможно
510,пол мужской,город не указан,данные извлечь невозможно
636,пол мужской,Пушкин,данные извлечь невозможно
651,пол женский,Москва,данные извлечь невозможно
711,пол мужской,Санкт-Петербург,данные извлечь невозможно
889,пол женский,Санкт-Петербург,данные извлечь невозможно
1018,пол мужской,Санкт-Петербург,данные извлечь невозможно
1038,пол мужской,город не указан,данные извлечь невозможно
1095,пол мужской,Санкт-Петербург,данные извлечь невозможно
1097,пол женский,Санкт-Петербург,данные извлечь невозможно
1113,пол мужской,München,данные извлечь невозможно
1174,пол женский,Санкт-Петербург,данные извлечь невозможно
1257,пол мужской,İstanbul,данные извлечь невозможно
1313,пол мужской,Москва,данные извлечь невозможно
1331,пол женский,Санкт-Петербург,данные извлечь невозможно
1347,пол мужской,город не указан,данные извлечь невозможно
1351,пол мужской,Санкт-Петербург,данные извлечь невозможно
1405,пол мужской,город не указан,данные извлечь невозможно
1418,пол мужской,Санкт-Петербург,данные извлечь невозможно
1443,пол женский,Санкт-Петербург,данные извлечь невозможно
1464,пол мужской,город не указан,данные извлечь невозможно
1481,пол женский,город не указан,2
1490,пол мужской,город не указан,данные извлечь невозможно
1494,пол мужской,Санкт-Петербург,данные извлечь невозможно
1498,пол женский,Санкт-Петербург,4
1510,пол мужской,Санкт-Петербург,данные извлечь невозможно
1511,пол женский,Санкт-Петербург,данные извлечь невозможно
1568,пол мужской,Санкт-Петербург,данные извлечь невозможно
1590,пол мужской,Санкт-Петербург,данные извлечь невозможно
1607,пол женский,Санкт-Петербург,данные извлечь невозможно
1630,пол мужской,Санкт-Петербург,данные извлечь невозможно
1666,пол мужской,город не указан,данные извлечь невозможно
1667,пол мужской,Череповец,данные извлечь невозможно
1681,пол мужской,Санкт-Петербург,данные извлечь невозможно
1696,пол женский,Санкт-Петербург,данные извлечь невозможно
1697,пол мужской,Санкт-Петербург,данные извлечь невозможно
1699,пол мужской,Москва,4
1700,пол женский,город не указан,данные извлечь невозможно
1752,пол мужской,Новосибирск,данные извлечь невозможно
1754,пол мужской,Нижний Новгород,1
1775,пол мужской,Москва,данные извлечь невозможно
1777,пол мужской,Москва,данные извлечь невозможно
1797,пол мужской,Санкт-Петербург,данные извлечь невозможно
1820,пол мужской,Москва,данные извлечь невозможно
1829,пол мужской,Санкт-Петербург,данные извлечь невозможно
1832,пол мужской,Санкт-Петербург,данные извлечь невозможно
1843,пол мужской,Санкт-Петербург,данные извлечь невозможно
1863,пол мужской,Москва,данные извлечь невозможно
1867,пол мужской,Москва,данные извлечь невозможно
1896,пол мужской,Санкт-Петербург,данные извлечь невозможно
1899,пол женский,город не указан,данные извлечь невозможно
1946,пол женский,Санкт-Петербург,данные извлечь невозможно
1967,пол женский,Санкт-Петербург,данные извлечь невозможно
1973,пол мужской,город не указан,данные извлечь невозможно
2030,пол мужской,Ижевск,данные извлечь невозможно
2050,пол женский,Санкт-Петербург,данные извлечь невозможно
2086,пол мужской,Санкт-Петербург,данные извлечь невозможно
2123,пол женский,Москва,данные извлечь невозможно
2126,пол мужской,город не указан,данные извлечь невозможно
2136,пол мужской,Рязань,данные извлечь невозможно
2175,пол мужской,Краснодар,данные извлечь невозможно
2186,пол мужской,город не указан,данные извлечь невозможно
2193,пол мужской,Санкт-Петербург,данные извлечь невозможно
2201,пол мужской,Москва,данные извлечь невозможно
2212,пол мужской,Санкт-Петербург,1
2213,пол мужской,Санкт-Петербург,данные извлечь невозможно
2226,пол мужской,Санкт-Петербург,данные извлечь невозможно
2249,пол мужской,Санкт-Петербург,данные извлечь невозможно
2269,пол мужской,Санкт-Петербург,данные извлечь невозможно
2272,пол мужской,город не указан,данные извлечь невозможно
2275,пол женский,город не указан,данные извлечь невозможно
2338,пол женский,Санкт-Петербург,данные извлечь невозможно
2375,пол мужской,Санкт-Петербург,данные извлечь невозможно
2389,пол мужской,Москва,6
2408,пол мужской,Москва,данные извлечь невозможно
2420,пол женский,Москва,данные извлечь невозможно
2425,пол женский,Санкт-Петербург,данные извлечь невозможно
2428,пол женский,Санкт-Петербург,данные извлечь невозможно
2466,пол женский,Санкт-Петербург,данные извлечь невозможно
2523,пол мужской,Москва,данные извлечь невозможно
2601,пол мужской,Санкт-Петербург,данные извлечь невозможно
2617,пол женский,Йыхви,4
2619,пол мужской,Санкт-Петербург,данные извлечь невозможно
2620,пол мужской,Санкт-Петербург,данные извлечь невозможно
2622,пол мужской,Санкт-Петербург,данные извлечь невозможно
2655,пол женский,Санкт-Петербург,данные извлечь невозможно
2665,пол женский,Санкт-Петербург,данные извлечь невозможно
2676,пол мужской,Санкт-Петербург,данные извлечь невозможно
2691,пол мужской,Москва,данные извлечь невозможно
2693,пол мужской,Санкт-Петербург,данные извлечь невозможно
2694,пол мужской,Санкт-Петербург,данные извлечь невозможно
2703,пол мужской,город не указан,данные извлечь невозможно
2704,пол женский,Санкт-Петербург,данные извлечь невозможно
2729,пол мужской,Санкт-Петербург,данные извлечь невозможно
2745,пол мужской,Санкт-Петербург,4
2752,пол мужской,Санкт-Петербург,данные извлечь невозможно
2827,пол мужской,город не указан,данные извлечь невозможно
2926,пол мужской,Москва,данные извлечь невозможно
2942,пол женский,Санкт-Петербург,данные извлечь невозможно
2962,пол мужской,Санкт-Петербург,данные извлечь невозможно
2970,пол мужской,город не указан,данные извлечь невозможно
2976,пол мужской,Санкт-Петербург,данные извлечь невозможно
3040,пол мужской,Санкт-Петербург,данные извлечь невозможно
3065,пол женский,город не указан,данные извлечь невозможно
3116,пол женский,Санкт-Петербург,данные извлечь невозможно
3155,пол мужской,Санкт-Петербург,данные извлечь невозможно
3172,пол мужской,Санкт-Петербург,данные извлечь невозможно
3196,пол мужской,город не указан,данные извлечь невозможно
3209,пол женский,Санкт-Петербург,данные извлечь невозможно
3257,пол женский,Санкт-Петербург,данные извлечь невозможно
3279,пол мужской,Санкт-Петербург,данные извлечь невозможно
3340,пол женский,Москва,данные извлечь невозможно
3345,пол женский,Санкт-Петербург,данные извлечь невозможно
3356,пол мужской,Helsinki,данные извлечь невозможно
3361,пол мужской,город не указан,данные извлечь невозможно
3374,пол женский,Санкт-Петербург,данные извлечь невозможно
3377,пол женский,Санкт-Петербург,данные извлечь невозможно
3388,пол мужской,Екатеринбург,данные извлечь невозможно
3420,пол мужской,Москва,4
3421,пол мужской,Санкт-Петербург,данные извлечь невозможно
3423,пол женский,Санкт-Петербург,данные извлечь невозможно
3431,пол женский,Санкт-Петербург,данные извлечь невозможно
3436,пол женский,Санкт-Петербург,данные извлечь невозможно
3438,пол мужской,Москва,данные извлечь невозможно
3443,пол мужской,Санкт-Петербург,данные извлечь невозможно
3450,пол мужской,Москва,данные извлечь невозможно
