название,цена,код
Ноутбук MSI Katana GF66 11UC-1225RU 15.6″/8/SSD 512/черный,77990,110688
Ноутбук MSI Summit E16 Flip Evo A11MT-092RU 16″/16/SSD 1024/черный,135990,108596
Ноутбук Asus VivoBook Pro 14 OLED M3401QA-KM016W 14″/8/SSD 512/синий,69990,110868
Ультрабук Asus ZenBook Pro Duo OLED UX582HM-H2033W 15.6″/16/SSD 1024/синий,219990,110858
Ноутбук Asus Vivobook 15 X513EA-BQ2370W 15.6″/8/SSD 256/черный,45990,110854
Ноутбук Lenovo IdeaPad 3 14ALC6 14″/12/SSD 512/синий,65990,108521
Ноутбук Asus VivoBook 15 K513EA-L11139T 15.6″/8/SSD 512/серебристый,59990,116196
Ноутбук Xiaomi RedmiBook Pro 15 15.6″/16/SSD 512/серый,94990,114046
Ноутбук MSI GP66 Leopard 11UH-650X 15.6″/16/SSD 1024/черный,149990,113887
Ноутбук Asus ROG Zephyrus M16 GU603ZX-K8053W 16″/32/SSD 2048/черный,307990,111857
Ноутбук HP 15s-fq0071ur 15.6″/4/SSD 128/синий,26990,111575
Ноутбук MSI Pulse GL76 12UEK-088XRU 17.3″/16/SSD 512/серый,99990,109769
Ноутбук MSI Pulse GL66 11UDK-417RU 15.6″/8/SSD 512/серый,104990,103890
Ноутбук HP Pavilion x360 14-dy0009ur 14″/8/SSD 512/золотой,69990,109835
Ноутбук Asus TUF Dash F15 FX517ZR 15.6″/16/SSD 512/черный,139990,114482
Ноутбук HP Pavilion 15-eg0134ur 15.6″/16/SSD 512/серебристый,64990,106859
Ноутбук HONOR MagicBook 16 HYM-W56 16.1″/16/SSD 512/серый,79990,110406
Ноутбук HP Envy 15-ep1031ur 15.6″/16/SSD 1024/серебристый,165990,113203
Ноутбук MSI Stealth GS66 12UGS-212RU 15.6″/32/SSD 1024/черный,179990,109809
Ноутбук MSI Raider GE66 12UGS-289RU 15.6″/16/SSD 1024/синий,155990,109805
Ультрабук Asus ZenBook 13 OLED UX325EA-KG763 13.3″/16/SSD 512/лиловый,84990,110857
Ноутбук Asus ProArt Studiobook 16 H7600ZX-L2017X 16″/32/SSD 2048/черный,349990,119716
Ноутбук MSI CreatorPro Z16P B12UMST 16″/64/SSD 2048/серый,359990,116018
Ноутбук MSI Pulse GL76 12UEK-072RU 17.3″/16/SSD 1024/серый,128990,109762
Ноутбук Asus VivoBook Pro 15 OLED K6500Z 15.6″/16/SSD 512/серебристый,108990,117438
Ультрабук Asus ZenBook S13 OLED UM5302T-LX385X 13.3″/16/SSD 512/белый,129990,119977
Ноутбук Tecno Megabook T1 i5 15.6″/16/SSD 512/серый космос,45990,118908
Ультрабук Asus ZenBook 14 OLED UX3402ZA-KM023W 14″/16/SSD 512/синий,143990,119109
Ноутбук Asus Laptop 15 X515EA-BQ882 15.6″/16/SSD 1024/серый,62990,117800
Ноутбук Asus VivoBook S15 OLED K3502ZA-MA026W 15.6″/16/SSD 512/серый,111990,116989
Ноутбук Asus Vivobook 16X M1603QA-MB254 16″/16/SSD 1024/серебристый,67990,119719
Ноутбук MSI Stealth GS77 12UGS-251RU 17.3″/32/SSD 1024/черный,199990,115196
Ноутбук Tecno Megabook T1 i5 15.6″/16/SSD 512/мятный,45990,119169
"2020 Apple MacBook Air 13.3″ серый космос (Apple M1, 8Gb, SSD 256Gb, M1 (7 GPU))",95990,114586
Ультрабук Asus ZenBook S13 OLED UM5302TA-LV560X 13.3″/16/SSD 512/зеленый,129990,119900
Ноутбук MSI Vector GP66 12UGSO-671RU 15.6″/16/SSD 1024/черный,152990,116604
Ноутбук HP 17-cn1002ny 17.3″/8/SSD 512/черный,79990,118505
Ноутбук Asus VivoBook 15 OLED M513UA-L1297W 15.6″/8/SSD 512/черный,61990,116197
Ноутбук Asus TUF Gaming Dash F15 FX516PC-HN558 15.6″/8/SSD 512/серый,74990,114774
Ноутбук MSI Pulse GL76 12UCK 17.3″/8/SSD 512/серый,88890,115202
Ноутбук MSI Pulse GL66 12UEK-220RU 15.6″/16/SSD 512/серый,104990,109784
Ультрабук Asus ExpertBook P1 P1512CEA-BQ0232 15.6″/8/SSD 512/серый,52990,116800
Ноутбук MSI Stealth 17M A12UE-040RU 17.3″/16/SSD 1024/черный,132990,115198
Ноутбук Asus ROG Strix Scar G733ZW-KH116W 17.3″/32/SSD 1024/черный,279990,117382
Ультрабук Asus ExpertBook B1 B1500CEAE-EJ0545R 15.6″/8/SSD 512/черный,54990,114509
Ноутбук Asus ROG Zephyrus M16 GU603HM-211-ZM16 16″/16/SSD 1024/черный,199990,116536
Ноутбук HP 17-cp0004ny 17.3″/8/SSD 512/черный,62990,116890
"2022 Apple MacBook Air 13.6″ темная ночь (Apple M2, 8Gb, SSD 512Gb, M2 (10 GPU))",149990,114614
Ноутбук MSI Creator M16 A12UC-200RU 16″/16/SSD 512/черный,119990,109744
Ультрабук Asus ExpertBook B1 B1500CEAE-BQ2003R 15.6″/8/SSD 512/черный,69990,113583
Ноутбук HP Envy 17-cg1075 17.3″/16/SSD 256/HDD 1000/серебристый,125990,118502
Ноутбук Asus VivoBook S15 OLED K3502ZA-MA023W 15.6″/8/SSD 512/зеленый,88590,116984
"2022 Apple MacBook Air 13.6″ сияющая звезда (Apple M2, 8Gb, SSD 256Gb, M2 (8 GPU))",114990,114599
Ноутбук Machenike S15 15.6″/16/SSD 512/черный,74590,116886
Ноутбук Tecno Megabook T1 i5 15.6″/16/SSD 512/синий,45990,118907
Ноутбук Tecno Megabook T1 i3 15.6″/12/SSD 256/серый космос,35990,118904
Ультрабук Huawei MateBook D 16 RLEF-X 16.1″/16/SSD 512/серый,79990,119237
Ультрабук Asus ZenBook 14X OLED UX5401ZA-KN057 14″/16/SSD 512/серый,121990,119713
Ноутбук Asus TUF Gaming F15 FX506LHB-HN323W 15.6″/8/SSD 512/черный,67990,116639
Ноутбук Asus ROG Flow X13 GZ301ZC-LD092W 13.4″/16/SSD 512/черный,179990,118425
Ноутбук Dell Latitude 7520 15.6″/16/SSD 1024/серый,119990,113148
Ноутбук Tecno Megabook T1 i3 15.6″/12/SSD 256/синий,35990,118903
Ультрабук Asus ZenBook 14 UM425QA-KI164W 14″/8/SSD 512/серый,79590,115885
Ноутбук MSI Pulse GL76 12UEK-073XRU 17.3″/16/SSD 512/серый,119990,109764
Ноутбук Tecno Megabook T1 i5 15.6″/16/SSD 512/мятный,42990,119168
Ноутбук Asus ROG Zephyrus M16 GU603ZW-K8062 16″/32/SSD 1024/черный,235990,114433
Ноутбук MSI Creator Z16 Hiroshi Fujiwara 16″/16/SSD 512/черный,145990,109753
Ноутбук HP Pavilion Aero 13-be1025ci 13.3″/16/SSD 512/серебристый,95990,117611
Ноутбук Tecno Megabook T1 i5 15.6″/16/SSD 512/серый космос,42990,118906
Ноутбук MSI Prestige 15 A12UC-221RU 15.6″/16/SSD 1024/серебристый,119990,115208
"2022 Apple MacBook Air 13.6″ темная ночь (Apple M2, 8Gb, SSD 256Gb, M2 (8 GPU))",114990,114583
Ноутбук Asus TUF Gaming A17 FA707RE-HX027 17.3″/8/SSD 512/серый,102990,116641
Ноутбук HP 15s-eq3053ci 15.6″/16/SSD 1024/серебристый,83190,117607
Ультрабук Asus ZenBook Flip 13 OLED UX363EA-HP461W 13.3″/8/SSD 512/серый,85990,116199
Ноутбук Asus TUF Gaming F15 FX506HE-HN011 15.6″/8/SSD 512/черный,77990,114763
Ноутбук Asus VivoBook S15 OLED K3502ZA-MA027W 15.6″/16/SSD 512/зеленый,111990,116990
Ноутбук MSI Pulse GL76 12UDK 17.3″/16/SSD 512/серый,105490,116017
Ноутбук HP 15s-fq5046ci 15.6″/16/SSD 512/серебристый,59990,117609
Ноутбук Tecno Megabook T1 i3 15.6″/12/SSD 256/мятный,35990,119167
Ультрабук Asus ExpertBook L1 L1500CDA-BQ0649T 15.6″/16/SSD 1024/черный,49990,113994
Ноутбук MSI Raider GE66 12UGS-466RU 15.6″/32/SSD 1024/синий,199990,116629
